,0:neural,1:networks,2:are,3:powerful,4:models,5:for,6:learning,7:representations,8:from,9:data,10:they,11:consist,12:of,13:layers,14:of,15:interconnected,16:neurons,17:attention,18:mechanisms,19:allow,20:models,21:to,22:focus,23:on,24:relevant,25:parts,26:of,27:the,28:input,29:transformers,30:rely,31:entirely,32:on,33:attention,34:instead,35:of,36:recurrence,37:autoregressive,38:models,39:generate,40:text,41:one,42:token,43:at,44:a,45:time
12:of,0.019024437,0.020545844,0.07897858,0.0007968608,0.12298702,0.0005352422,0.0012960931,0.24888632,0.0035297747,0.48182324,0.005063842,0.01623689,0.00029576462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:layers,3.3924454e-05,0.0008329282,0.00018501071,9.569051e-06,0.00018910086,0.0014324376,4.1178762e-05,0.0013972502,0.002834801,6.188649e-05,0.99214196,9.602423e-05,6.9827336e-05,0.0006741808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:of,0.0006310947,0.24976282,0.020184698,0.014726979,0.12120329,0.040708046,0.01763844,0.010699544,0.035541113,0.0009979195,0.0010406014,0.44341424,0.014224454,0.013240265,0.015986571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:interconnected,0.0010431493,0.011727165,0.014224791,0.5650587,0.06304829,0.023720289,0.03061395,0.01402021,0.072132275,0.0004831818,0.010710553,0.15244557,0.014689399,0.004424061,0.0012795463,0.020378856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:neurons,0.44331655,0.0015158916,0.2980988,0.0016831798,0.0008170228,0.00085514394,0.011994147,0.0023387466,0.004695966,0.009867513,0.027412215,0.17196836,0.0055205636,0.0063141827,0.005124306,0.0008248817,0.0076524448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:attention,0.33610806,0.0007291198,0.005868361,0.0004280237,0.004471647,0.0014451216,0.0017178886,0.0043183044,0.0015478357,0.5648297,0.002340031,0.0051010693,0.016704695,0.0038510417,0.03247711,0.0037063193,0.002534813,0.011820767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18:mechanisms,0.005439014,0.0008945389,0.00076379644,0.30597514,0.0027745464,0.047022097,0.01513272,0.00022049886,0.00011518428,0.00036037975,0.00010404733,0.0021678556,0.4055804,0.0022117374,0.0018752058,0.06856288,0.0016614352,0.13455784,0.0045807096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:allow,0.00293785,0.7173239,0.0014024422,0.0026467848,0.0051507447,0.014233661,0.0004486792,0.0063940813,0.002404398,0.20431392,0.00063441496,0.00062617374,0.0151889585,0.0052800924,0.017228995,0.0003274461,0.000652409,0.0012634384,0.0006416435,0.0008999286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:models,0.011891149,0.00034000678,0.035118137,0.013944971,0.021924742,0.006777993,0.19251871,0.005987068,0.020073788,0.00050473894,0.0015057273,0.058870897,0.03235971,0.0008260349,0.0017584548,0.02969815,0.2273575,0.016404448,0.12969968,0.031797178,0.16064088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:to,0.0032000148,0.061164726,0.07562499,0.005355006,0.015625905,0.000991169,0.009572251,0.049044807,0.027276227,0.026107665,0.0071366997,0.033488937,0.00043124176,0.10865747,0.0037260512,0.00173543,0.48504803,0.001332929,0.021699168,0.0073880553,0.04468834,0.010704894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:focus,0.00017962404,0.0013044431,1.24438475e-05,9.668034e-06,6.78011e-06,0.015197261,2.8688415e-05,3.2576234e-05,0.00025488512,0.0022867974,0.0042420006,0.00012112037,0.00491966,0.0006697146,0.96500134,0.00095066073,1.0049302e-05,0.0029137526,1.7867742e-05,0.00011279974,3.1694174e-06,0.0005384652,0.0011862696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:on,0.0023916175,0.0032039585,0.00070451834,0.0011679708,0.0006368818,0.03435082,0.04557376,0.0009185414,0.0068671554,0.00077472633,0.0012969313,0.01873549,0.004796368,0.038127657,0.009958067,0.006076352,0.0352473,0.0211263,0.0020353124,0.6415481,0.00016008696,0.11119616,0.00035001134,0.012756011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24:relevant,4.185423e-08,8.148545e-07,8.3189263e-07,1.6510864e-07,7.3638934e-05,3.21286e-08,2.1180492e-06,1.2559246e-07,2.4414128e-06,4.4788163e-08,2.777652e-08,2.6909134e-05,9.627914e-07,2.5780986e-07,6.33733e-07,0.99922955,4.1897783e-07,1.3738612e-07,2.8011507e-07,4.2546134e-07,0.00065393443,3.4534088e-07,1.1048005e-07,5.7175066e-06,1.991956e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25:parts,0.00012086635,0.00020979774,5.4578682e-05,9.562269e-06,6.472426e-06,0.00084964844,3.986012e-05,1.2285411e-05,1.51515615e-05,0.00015521696,0.9847803,0.000111159934,0.00015987198,0.0022585557,0.0020299342,0.00022181276,2.0523337e-05,0.0021813016,2.2089425e-06,0.00012556529,9.838091e-06,0.005004607,0.0001497806,0.00010347865,0.0013475473,1.9941761e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26:of,0.0009896237,0.00030383843,0.025944501,0.0059123235,0.024015347,0.00020790608,0.006711627,0.0061997413,0.0017060527,0.0005314937,3.8405167e-07,0.028908925,0.0013930652,0.00015451196,8.458325e-05,0.0010966078,0.012999736,7.7692675e-05,0.41051948,0.0017473544,0.4456485,8.706794e-05,0.0003142201,0.0005842197,0.00042197976,0.00030156612,0.023137806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27:the,0.0033751614,3.7066538e-06,0.0032535668,0.0006051613,0.0021766797,2.9856576e-06,2.536205e-05,0.00056439446,7.067735e-06,0.983886,0.00012563814,0.00010731857,7.198245e-06,0.00018080042,5.0056868e-05,3.0740248e-05,5.6178993e-05,2.4571356e-05,0.00038737507,1.5571375e-05,0.0008475768,1.3572775e-05,0.0032208408,8.405275e-05,0.00011727896,0.0007327912,1.2276009e-05,8.606603e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28:input,0.006064031,0.00095009676,0.0004485748,0.0013044621,0.00029871255,0.0020975173,0.0035078984,0.00050556025,0.0002441666,0.0012832002,1.0288221e-05,0.0015513785,0.77337223,0.00022316758,0.0128654605,0.0021985555,0.0054117716,0.03153791,0.0032507286,0.0015367403,0.0010468501,0.0012305401,0.002774517,0.006209437,0.0007353859,0.022103656,0.027029285,0.012976399,0.07723142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29:transformers,0.0010540909,0.00065666565,0.0010566413,0.82256603,0.035721462,8.304441e-05,0.006118664,0.0031571758,0.00026893892,0.0077961804,8.232255e-08,0.0013418938,0.0051770816,0.0004409296,0.00018281613,0.005700395,0.012977993,0.0002990605,0.01095996,0.0027758847,0.032283727,2.2953855e-05,0.0013030439,0.000961291,5.446845e-05,0.02211719,0.0013907249,8.655196e-05,0.023262322,0.00018271086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30:rely,0.014160636,0.0018342814,0.022016993,0.25949275,0.01585325,0.021235822,0.019062107,0.01194683,0.0054167905,0.0013979779,0.034780547,0.002223541,0.0023358923,0.07198092,0.0010665761,0.001604194,0.040673446,0.00623372,0.25625858,0.03819353,0.012542495,0.014732209,0.0066178786,0.0022525734,0.05550396,0.002757126,0.026124446,0.020040398,0.0037669563,0.020951314,0.0069422796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31:entirely,0.00018482626,0.00201404,2.0077448e-05,0.0010773513,6.1333863e-06,0.023259766,0.0017787489,6.617308e-05,0.00077543623,2.320374e-05,0.00090631796,0.0010133212,0.14573297,0.0009560482,0.023761654,5.3537613e-05,0.0023825264,0.7630609,8.777794e-05,0.0046788836,3.2850152e-05,0.0062881396,0.00044664682,0.00043338552,0.0037930561,0.00057178776,0.01311222,0.0007134102,0.0016519048,9.626087e-05,0.0009627153,5.7884758e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32:on,0.02343707,0.00046307384,0.06641088,0.00023404535,0.00033640218,0.00013369393,0.021248097,0.00034627714,0.0019468128,0.0033097693,0.0046319244,0.2625502,0.0015474523,0.0063119554,0.00035182637,0.0009044998,0.022100668,0.012747369,0.0023266247,0.011358164,0.006827982,0.055421207,0.0005901481,0.4534155,0.0005330344,0.007249333,0.0004209969,0.0012879905,0.00076226617,0.00012279215,0.01927784,0.0002744726,0.011119633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33:attention,0.09990151,0.00025831847,0.0071668494,0.0193107,0.0030074748,0.0022246542,0.0023311598,0.0015215073,0.00025130645,0.15145119,0.0005685257,0.0033487915,0.009144882,0.0041410266,0.03819064,0.0010257695,0.0024458983,0.0021279638,0.02280428,0.001888189,0.0045400625,0.00071658246,0.018806463,0.0018134005,0.0049133175,0.017392756,0.015817612,0.009553272,0.46242353,0.0063471217,0.0017923644,0.07585942,0.0019583642,0.0049551125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34:instead,0.00015272724,0.0005688056,0.0025694708,9.272948e-05,0.00090289384,0.0004474892,0.00053301355,0.00015417619,0.0008450023,9.412394e-05,0.8838991,0.004417597,0.00024790436,0.008678765,0.001743816,0.04904962,0.00083612406,0.0027529867,0.00028095904,0.00044703882,0.0069539594,0.013153388,0.00043578687,0.0013732666,0.0055253385,0.00021920774,0.00036526195,0.0014802304,0.00019727673,0.0027015072,9.36552e-05,0.0002356684,0.00415306,0.00063522183,0.003762723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35:of,0.0010959118,0.13076594,0.0056570824,0.003071231,0.007148219,0.114049785,0.0022134646,0.00860905,0.015662408,0.0034139468,0.01653941,0.00812083,0.00492715,0.0063532977,0.030206844,0.0009717854,0.001745571,0.0012597048,0.017991483,0.006122685,0.010168658,0.0068657654,0.0032076158,0.00021857281,0.045406852,4.4858047e-05,0.21278381,0.018522233,0.0070277397,0.14143881,0.14028525,0.00018307676,0.00017673933,0.0017207897,0.0028888716,0.02313456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36:recurrence,3.795367e-06,5.0419436e-05,0.00027362411,6.784424e-05,0.0016107145,4.7542075e-05,0.007112851,0.000809912,0.0013024741,2.6262226e-06,8.802019e-06,0.00025836634,7.559865e-05,3.7598013e-05,7.2380644e-06,0.004233376,0.4327305,8.2297774e-05,0.0009978885,0.001671807,0.0012683746,0.00053663604,1.1948828e-06,0.0021974505,0.0003224295,0.0002508465,5.8019075e-05,0.005270861,4.053936e-05,0.006695776,0.00023069682,1.2672453e-05,0.5313696,3.98792e-05,0.00031072984,2.4850424e-06,6.5115655e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37:autoregressive,4.4161825e-05,1.5232189e-06,1.4007836e-07,3.935588e-05,2.5526311e-05,6.1402584e-06,1.6275964e-06,3.1453985e-06,8.7160295e-08,0.0011008978,1.7911954e-07,5.786026e-07,1.8236655e-05,1.5434922e-06,1.5516e-05,8.055213e-05,9.761527e-08,5.7151633e-06,1.9979065e-07,2.5662523e-06,6.149644e-07,3.8734564e-07,5.324363e-05,3.2292276e-06,3.056189e-07,0.000113321425,1.2811777e-06,4.6906948e-08,5.6773846e-05,3.132226e-07,1.01661726e-07,0.9983601,1.2018518e-06,2.0829359e-05,1.1361539e-05,2.6949872e-05,1.9192225e-06,1.561163e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:models,0.0070227194,0.0004281397,0.018816628,0.00040925908,0.0011693615,0.0037138814,0.008548063,0.00088012253,0.00143194,0.0015529175,0.050468087,0.01774778,0.0019353881,0.00053010014,0.0017546009,0.004400921,0.002520169,0.006566036,0.008646095,0.002677724,0.011934009,0.003614314,0.00325564,0.5275128,0.031371668,0.0027829122,0.0014443819,0.0407614,0.031235492,0.010626997,0.0017866123,0.0010823896,0.056684416,0.0058204625,0.006492099,0.00083403976,0.036155198,0.084180124,0.0012050068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39:generate,0.00013438042,4.964677e-06,0.00025354986,5.1779143e-06,0.0008657976,6.7304427e-06,1.4792443e-05,3.227128e-06,3.486274e-06,9.985599e-05,1.7994584e-05,0.000101769176,9.418319e-06,1.749706e-05,1.4209626e-06,6.691227e-05,2.7330957e-06,1.8922394e-06,0.00019549942,9.895262e-06,0.010692541,2.0030999e-05,1.9189289e-05,4.2458712e-05,8.934949e-05,2.0814803e-05,3.7362457e-05,0.0031819418,0.0027497169,0.00045162663,3.1864984e-05,6.9189964e-06,0.00015623852,2.785974e-05,0.0044564446,2.4084752e-06,0.9615806,3.4309985e-05,0.00075066194,0.013830706,0.0,0.0,0.0,0.0,0.0,0.0
40:text,0.00043838954,0.0013659816,0.0011499681,0.0001446246,0.005874188,0.0002945068,0.0001846187,0.00041729875,0.00033368013,0.002610582,0.0017682782,0.0016314784,5.638844e-05,0.0014225015,4.7580244e-05,0.00012079183,0.0010056017,0.00013911384,0.001607629,0.0004152253,0.024231963,0.0005466165,0.00035004332,2.025333e-05,0.0043789586,1.0168913e-05,0.00075633405,0.8941509,0.0020046316,0.002416802,0.00094020035,1.0646974e-05,0.00030292422,2.2451064e-05,0.0013082178,0.00020607216,0.023261514,0.0057889745,0.017336162,0.00046169927,0.00046596187,0.0,0.0,0.0,0.0,0.0
41:one,4.0363167e-05,0.32355577,0.002412108,7.6949684e-05,0.00462134,0.000621094,0.0006354952,0.0024330546,0.0032545126,0.0011199941,0.0015862915,0.017627008,0.00013442332,0.0022695516,0.0015682129,0.0021619468,0.0016519664,8.598925e-05,0.0001570931,0.0004943545,0.019631645,0.0017889213,0.00020394799,2.9077684e-05,0.00042355902,4.672514e-06,0.0010601046,0.0017542017,0.000116530566,0.0011970645,0.01398702,5.886591e-06,2.0381236e-05,4.4770677e-05,0.0002941413,0.00083004514,0.0006637929,0.00024058187,0.586896,0.0001471234,0.003861808,0.00029115143,0.0,0.0,0.0,0.0
42:token,0.0006362511,2.4090184e-06,1.3149638e-05,7.987637e-05,5.0568174e-06,3.1557356e-06,6.410606e-05,5.873946e-05,7.46724e-05,3.922819e-05,2.9627657e-07,9.897691e-06,0.00049585605,7.0509373e-06,0.00030088733,8.134838e-05,1.9608888e-05,0.00025020153,5.0936967e-05,9.052943e-06,8.204444e-07,2.0600643e-05,0.00030442188,0.0021293573,1.4392919e-06,0.9803996,1.1806441e-05,3.8338513e-07,2.9971727e-05,1.7179246e-06,7.116051e-06,0.0023241336,0.00020925544,0.011915514,2.311803e-05,0.00018519671,3.947155e-07,1.58887e-05,1.1130113e-06,9.599655e-05,1.212666e-05,4.6126726e-05,6.2156774e-05,0.0,0.0,0.0
43:at,0.00015788495,0.06351758,0.014013293,2.6388643e-05,0.0034060292,0.0005684614,0.0027903507,0.0045069163,0.006515581,0.0014345129,0.00018686288,0.020620786,0.00014002525,0.00080826716,0.0012591707,0.007020857,0.0037394804,9.6191696e-05,0.0010335863,0.0008144267,0.00784638,0.0038936713,8.973639e-05,0.0015685271,0.00027364324,0.000122037425,0.0010189858,0.002460193,0.00025032478,0.0061490894,0.51982373,3.822733e-05,0.0005275248,0.00054532255,0.0023987342,0.00047253587,0.0031624094,0.00048073125,0.031102046,0.0018991346,0.28202033,0.001073727,3.2568198e-05,9.364155e-05,0.0,0.0
44:a,0.014455074,0.00051546324,0.045833528,0.011725838,0.01751096,0.0012765048,0.0067678965,0.0058203996,0.007884282,0.0024407895,0.0019880584,0.014146853,0.015963107,0.0020830245,0.0005553502,0.021940902,0.00942329,0.016381335,0.0258253,0.005704132,0.09687986,0.0022859096,0.019731857,0.042591903,0.0045133643,0.032722894,0.0052404893,0.049491078,0.024305694,0.0073665767,0.0018551474,0.0022040792,0.20014377,0.086956084,0.012831984,0.0025732713,0.007554202,0.03234937,0.019552521,0.032422423,0.0026231937,0.0061512105,0.037109654,0.025326986,0.016974334,0.0
45:time,6.8894755e-05,0.23861924,0.01311691,0.0003142071,0.008264868,0.0096652405,0.0021741388,0.0040120473,0.06402182,0.00021515161,0.028519329,0.14438906,0.0036880923,0.0034253362,0.009513739,0.14815506,0.0048244847,0.0028856567,0.0029968158,0.0032548173,0.10678341,0.009322158,0.001214792,0.00072612806,0.004069197,2.6665683e-05,0.04855939,0.008248576,0.00016451965,0.01875585,0.022882087,4.1441508e-05,0.00084601855,0.0026928305,0.00083149195,0.0054601124,0.0017939581,0.0029294153,0.046644695,0.00089011923,0.0022193133,0.003526821,0.0002937217,0.005957411,0.0024799097,0.010515059
